,g1,g2,g3,cnn
g1,0.0,0.0022107130481350806,0.0022616281817036286,0.0024540070564516127
g2,0.0022107130481350806,0.0,0.0012503543976814515,0.001306093277469758
g3,0.0022616281817036286,0.0012503543976814515,0.0,0.0011177112210181454
cnn,0.0024540070564516127,0.001306093277469758,0.0011177112210181454,0.0
