,g1,g2,g3,cnn
g1,0.0,0.01544033911920363,0.024510675245715728,0.013818280619959676
g2,0.01544033911920363,0.0,0.014991415700604837,0.01459415558845766
g3,0.024510675245715728,0.014991415700604837,0.0,0.01912631127142137
cnn,0.013818280619959676,0.01459415558845766,0.01912631127142137,0.0
