,g1,g2,g3,cnn
g1,0.0,0.013256068075856855,0.02188019783266129,0.00979645759828629
g2,0.013256068075856855,0.0,0.013162743353074595,0.011406151556199595
g3,0.02188019783266129,0.013162743353074595,0.0,0.01676415228074597
cnn,0.00979645759828629,0.011406151556199595,0.01676415228074597,0.0
