,g1,g2,g3,cnn
g1,0.0,0.01765105216733871,0.026772303427419354,0.01627228767641129
g2,0.01765105216733871,0.0,0.01624177009828629,0.01590024886592742
g3,0.026772303427419354,0.01624177009828629,0.0,0.020244022492439517
cnn,0.01627228767641129,0.01590024886592742,0.020244022492439517,0.0
