b_scan_name,hd_g1_g2,hd_g1_g3,hd_g2_g3,hd_g1_cnn,hd_g2_cnn,hd_g3_cnn
Eye4_18,0.0270,0.0200,0.0101,0.0179,0.0274,0.0191
Eye4_19,0.0286,0.0227,0.0102,0.0153,0.0243,0.0189
Eye4_2,0.0240,0.0200,0.0087,0.0163,0.0193,0.0155
Eye4_20,0.0185,0.0367,0.0209,0.0204,0.0102,0.0247
Eye4_21,0.0339,0.0357,0.0065,0.0175,0.0258,0.0260
Eye4_22,0.0402,0.0312,0.0149,0.0208,0.0315,0.0188
Eye4_23,0.0194,0.0292,0.0154,0.0201,0.0142,0.0223
Eye4_24,0.0144,0.0202,0.0133,0.0223,0.0218,0.0248
Eye4_25,0.0143,0.0230,0.0109,0.0195,0.0152,0.0191
Eye4_3,0.0229,0.0287,0.0092,0.0294,0.0136,0.0120
Eye4_4,0.0145,0.0341,0.0225,0.0210,0.0130,0.0219
Eye4_5,0.0263,0.0312,0.0082,0.0252,0.0158,0.0160
Eye4_6,0.0260,0.0340,0.0111,0.0155,0.0237,0.0279
Eye4_7,0.0185,0.0369,0.0218,0.0285,0.0159,0.0205
Eye4_8,0.0131,0.0249,0.0207,0.0149,0.0125,0.0201
Eye4_9,0.0113,0.0146,0.0083,0.0141,0.0145,0.0119
Eye5_1,0.0301,0.0096,0.0277,0.0196,0.0316,0.0126
Eye5_10,0.0267,0.0265,0.0103,0.0154,0.0230,0.0204
Eye5_11,0.0112,0.0124,0.0069,0.0115,0.0173,0.0166
Eye5_12,0.0203,0.0099,0.0229,0.0160,0.0167,0.0155
Eye5_13,0.0103,0.0232,0.0188,0.0138,0.0099,0.0188
Eye5_14,0.0110,0.0172,0.0129,0.0158,0.0085,0.0168
Eye5_15,0.0097,0.0234,0.0212,0.0106,0.0087,0.0200
Eye5_16,0.0075,0.0138,0.0113,0.0140,0.0142,0.0128
Eye5_17,0.0140,0.0229,0.0141,0.0151,0.0115,0.0184
Eye5_18,0.0163,0.0340,0.0206,0.0103,0.0161,0.0323
Eye5_19,0.0173,0.0215,0.0090,0.0167,0.0238,0.0286
Eye5_2,0.0168,0.0190,0.0101,0.0210,0.0169,0.0127
Eye5_20,0.0116,0.0295,0.0212,0.0171,0.0139,0.0291
Eye5_21,0.0225,0.0268,0.0103,0.0164,0.0196,0.0204
Eye5_22,0.0232,0.0247,0.0092,0.0144,0.0242,0.0265
Eye5_23,0.0109,0.0156,0.0116,0.0207,0.0155,0.0181
Eye5_24,0.0174,0.0274,0.0134,0.0181,0.0182,0.0249
Eye5_25,0.0152,0.0202,0.0158,0.0181,0.0112,0.0213
Eye5_3,0.0067,0.0133,0.0143,0.0205,0.0190,0.0196
Eye5_4,0.0111,0.0132,0.0123,0.0204,0.0154,0.0144
Eye5_5,0.0200,0.0210,0.0102,0.0215,0.0176,0.0113
Eye5_6,0.0146,0.0233,0.0116,0.0180,0.0147,0.0161
Eye5_7,0.0187,0.0285,0.0116,0.0196,0.0136,0.0155
Eye5_8,0.0100,0.0141,0.0074,0.0196,0.0128,0.0088
Eye5_9,0.0166,0.0221,0.0074,0.0155,0.0113,0.0110
Eye6_1,0.0303,0.0175,0.0159,0.0117,0.0258,0.0143
Eye6_10,0.0189,0.0446,0.0273,0.0187,0.0115,0.0299
Eye6_11,0.0470,0.0311,0.0183,0.0164,0.0343,0.0176
Eye6_12,0.0075,0.0179,0.0191,0.0101,0.0088,0.0181
Eye6_13,0.0104,0.0278,0.0258,0.0131,0.0089,0.0252
Eye6_14,0.0118,0.0349,0.0250,0.0132,0.0099,0.0299
Eye6_15,0.0265,0.0235,0.0100,0.0140,0.0238,0.0190
Eye6_16,0.0280,0.0300,0.0060,0.0086,0.0299,0.0307
Eye6_17,0.0275,0.0239,0.0061,0.0127,0.0301,0.0267
Eye6_18,0.0158,0.0311,0.0166,0.0143,0.0143,0.0261
Eye6_19,0.0404,0.0235,0.0191,0.0128,0.0430,0.0253
Eye6_2,0.0343,0.0308,0.0077,0.0127,0.0274,0.0230
