b_scan_name,hd_g1_g2,hd_g1_g3,hd_g2_g3,hd_g1_cnn,hd_g2_cnn,hd_g3_cnn
Eye3_7,0.014483052,0.031041299,0.023709205,0.018243605,0.009777438,0.016672442
Eye3_8,0.00898595,0.024981099,0.03172253,0.015258789,0.018511372,0.017589938
Eye3_9,0.018153037,0.049009262,0.031194871,0.026741274,0.011636057,0.025945848
Eye4_1,0.009391539,0.032643964,0.027891098,0.022311303,0.018471995,0.020106162
Eye4_10,0.008879631,0.029922978,0.022831086,0.01296308,0.010927262,0.026016728
Eye4_11,0.014640562,0.030151367,0.016093592,0.011344664,0.012833134,0.02554026
Eye4_12,0.015640751,0.02375252,0.00898595,0.011029643,0.015384797,0.020763766
Eye4_13,0.008151147,0.029753654,0.025981288,0.012305475,0.011864447,0.024465253
Eye4_14,0.01063193,0.019306798,0.013226909,0.0132781,0.013104839,0.015644689
Eye4_15,0.008076329,0.022252237,0.021311114,0.010974515,0.010624055,0.020413306
Eye4_16,0.006280714,0.016294418,0.012809507,0.012356666,0.011510049,0.019806893
Eye4_17,0.017511183,0.038381269,0.02187815,0.01832236,0.013262349,0.027650895
Eye4_18,0.024965348,0.017471806,0.009226153,0.015754946,0.026638892,0.018310547
Eye4_19,0.026319934,0.020283361,0.009131647,0.012998519,0.023370558,0.017696258
Eye4_2,0.021752142,0.017790764,0.007528982,0.014038086,0.017967962,0.014108965
Eye4_20,0.015518681,0.03331732,0.019436744,0.017294607,0.009202526,0.023795835
Eye4_21,0.031572896,0.033293693,0.005036385,0.01569588,0.024784211,0.024701518
Eye4_22,0.037262947,0.028174616,0.013498614,0.018046717,0.03023406,0.017979776
Eye4_23,0.017456055,0.027001166,0.014168032,0.018881521,0.012254284,0.020499937
Eye4_24,0.012096774,0.018885459,0.011529738,0.020610194,0.019192603,0.023272114
Eye4_25,0.012073148,0.021000032,0.009848318,0.016766948,0.012695313,0.017164661
Eye4_3,0.0201101,0.026280557,0.008202337,0.026989352,0.012305475,0.011159589
Eye4_4,0.01219128,0.031876103,0.021330803,0.018653131,0.011966828,0.020877961
Eye4_5,0.024055727,0.029033046,0.006520917,0.023532006,0.014463363,0.014880765
Eye4_6,0.023858839,0.03210843,0.009753812,0.013758506,0.02261451,0.026934224
Eye4_7,0.016192036,0.034022177,0.020192792,0.025752898,0.014364919,0.019736013
Eye4_8,0.010238155,0.022185295,0.01975964,0.012116463,0.011557302,0.0193383
Eye4_9,0.008537046,0.012344853,0.00723365,0.011360415,0.013849074,0.0109312
Eye5_1,0.026516822,0.005953881,0.026855469,0.016109343,0.030828661,0.011557302
Eye5_10,0.024835402,0.024567635,0.009340348,0.012939453,0.021889963,0.019283172
Eye5_11,0.009230091,0.010309035,0.005670363,0.009159211,0.015688004,0.015215474
Eye5_12,0.018097908,0.007458102,0.021830897,0.013423797,0.015558058,0.01394358
Eye5_13,0.007977886,0.021374118,0.017239478,0.011072959,0.008316532,0.017074093
Eye5_14,0.007485667,0.013419859,0.011478547,0.01187626,0.006926506,0.015798261
Eye5_15,0.008076329,0.021819084,0.02000378,0.008233839,0.006859564,0.018460181
Eye5_16,0.005808184,0.01245511,0.010127898,0.012147965,0.013065461,0.011324975
Eye5_17,0.012116463,0.02133474,0.013132403,0.013337166,0.010049143,0.017046528
Eye5_18,0.013530116,0.031860352,0.01956669,0.007438414,0.01534542,0.031202747
Eye5_19,0.015668315,0.018944525,0.007796749,0.014357044,0.022378245,0.027591828
Eye5_2,0.015211536,0.01707803,0.00889932,0.018964214,0.015613187,0.0119117
Eye5_20,0.008174773,0.026477445,0.019507623,0.012781943,0.012443296,0.027698148
Eye5_21,0.017865581,0.023512317,0.008269279,0.012640184,0.018086095,0.01940918
Eye5_22,0.021590694,0.023252426,0.008048765,0.012911889,0.022972845,0.025256741
Eye5_23,0.009092269,0.013234785,0.009860131,0.018105784,0.013841198,0.01721979
Eye5_24,0.013825447,0.024673954,0.011903824,0.01492408,0.01692052,0.023721018
Eye5_25,0.013093025,0.016892956,0.014061712,0.015506867,0.010029454,0.019909274
Eye5_3,0.005197833,0.010781565,0.012868574,0.017747448,0.017188288,0.018558625
Eye5_4,0.008450416,0.010730374,0.011069021,0.017743511,0.014309791,0.013439548
Eye5_5,0.018408991,0.01898784,0.008816627,0.019271358,0.015841576,0.010372039
Eye5_6,0.013175718,0.021216608,0.010537424,0.015109154,0.012919764,0.014739006
Eye5_7,0.016652753,0.025902533,0.010029454,0.016995338,0.012266098,0.014561807
Eye5_8,0.007564422,0.011982579,0.005946006,0.017231603,0.0111399,0.007997574
