,g1,g2,g3,cnn
g1,0.0,0.004394984091481855,0.004892105594758065,0.006475830078125
g2,0.004394984091481855,0.0,0.003079026745211693,0.004494097309727822
g3,0.004892105594758065,0.003079026745211693,0.0,0.003479870211693549
cnn,0.006475830078125,0.004494097309727822,0.003479870211693549,0.0
